complaint_text,category,priority,sentiment
I want to report that The power supply in the boys hostel switchboard gives mild shocks when touched. Please resolve this at the earliest.,Electricity,Critical,Negative
Kindly look into the issue that The sports equipment has broken links and outdated content. Please fix this issue soon.,Other,Low,Negative
"Requesting information on the college bus for my reference, not urgent.",Transport,Medium,Neutral
"I just wanted to appreciate that the boys washroom was fixed quickly and works great now, thank you!",Cleanliness,Low,Positive
I am extremely disappointed that The parking lot security completely is lax and anyone can walk in after hours.,Security,High,Negative
I am writing to complain that The campus Wi-Fi router has very weak signal in the library section. This is causing a lot of inconvenience to students.,IT/Network,Low,Negative
This is to bring to your notice that The ceiling fan in room 204 completely is not working properly during lectures. Thank you for looking into this.,Infrastructure,Medium,Negative
I would like to inform you that The streetlights on campus was never restored after the recent short circuit. Please resolve this at the earliest.,Electricity,Critical,Negative
"Thanks to the quick response team, the staircase area issue was resolved smoothly and I am happy with the service.",Cleanliness,Low,Positive
I would like to inform you that The sports equipment was conducted without proper transparency. Please fix this issue soon.,Other,High,Negative
"To whomsoever it may concern, The newspaper section is too noisy to study in. Kindly take necessary action as soon as possible.",Library,Low,Negative
This is to bring to your notice that The book renewal system completely system shows incorrect due dates for borrowed books. This is causing a lot of inconvenience to students.,Library,Medium,Negative
I am writing to complain that The biometric login system shows an error every time I try to log in. Thank you for looking into this.,IT/Network,Low,Negative
Wanted to confirm the schedule/details related to the evening bus timing when convenient.,Transport,Medium,Neutral
The workshop machinery completely are outdated and frequently malfunction during practicals.,Laboratory,Medium,Neutral
I am writing to complain that The auditorium sound system completely is broken and needs immediate repair. Thank you for looking into this.,Infrastructure,High,Negative
I would like to inform you that The ID verification at the gate seriously did not respond during a recent fire drill.,Security,Critical,Negative
I am extremely disappointed that The electronics lab kits absolutely are damaged and unusable. Kindly take necessary action as soon as possible.,Laboratory,High,Negative
This is to bring to your notice that The book issue counter system shows incorrect due dates for borrowed books. Please fix this issue soon.,Library,Medium,Neutral
The ID card renewal process is not accepting payments due to a technical error. I hope this gets resolved quickly.,Administration,High,Negative
The hostel gate timing extremely quality has degraded badly and causes stomach issues. I hope this gets resolved quickly.,Hostel,Critical,Negative
"To whomsoever it may concern, The exam seating arrangement logged me out in the middle of the exam. This is causing a lot of inconvenience to students.",Examination,Critical,Negative
"I just wanted to appreciate that the girls washroom was fixed quickly and works great now, thank you!",Cleanliness,Low,Positive
It has come to my attention that The certificate issuance counter extremely is not accepting payments due to a technical error.,Administration,High,Negative
The hostel Wi-Fi extremely is broken and needs replacement. Kindly take necessary action as soon as possible.,Hostel,Medium,Negative
Please share the standard procedure for the email server whenever possible.,IT/Network,Medium,Neutral
"Thanks to the quick response team, the library AC issue was resolved smoothly and I am happy with the service.",Library,Low,Positive
"Excellent support was given when I reported an issue with the wiring near the canteen, really appreciate the effort.",Electricity,Medium,Positive
The classroom door is not working properly during lectures. Please fix this issue soon.,Infrastructure,Medium,Negative
Could you please provide an update regarding the power supply in the library? Just checking on the status.,Electricity,Critical,Neutral
"To whomsoever it may concern, The college corridors totally is filled with dust and cobwebs. This needs urgent attention from the concerned department.",Cleanliness,Low,Negative
I am extremely disappointed that The admission office staff absolutely is not answering calls or emails. I would appreciate a quick response.,Administration,Low,Negative
"Thanks to the quick response team, the accounts department issue was resolved smoothly and I am happy with the service.",Administration,Low,Positive
I want to report that The certificate issuance counter staff is uncooperative and unresponsive to queries. Kindly take necessary action as soon as possible.,Administration,Medium,Negative
I would like to inform you that The computer lab systems totally pose a safety hazard to students. Please resolve this at the earliest.,Laboratory,Critical,Negative
It has come to my attention that The exam timetable totally was chaotic and roll numbers were misplaced.,Examination,High,Negative
This is to bring to your notice that The hostel room cleanliness extremely is broken and needs replacement. I hope this gets resolved quickly.,Hostel,Medium,Negative
The visitor entry process is irregular and the campus feels unsafe at night. Please resolve this at the earliest.,Security,High,Negative
I am extremely disappointed that The auditorium sound system is broken and needs immediate repair. Please fix this issue soon.,Infrastructure,High,Negative
It has come to my attention that The notice board updates is outdated and shows wrong information. Kindly take necessary action as soon as possible.,Other,Low,Negative
"To whomsoever it may concern, The computer lab systems are extremely slow, wasting practical session time. Thank you for looking into this.",Laboratory,Low,Negative
I am extremely disappointed that The window glass in the physics lab is broken and needs immediate repair. Please resolve this at the earliest.,Infrastructure,High,Negative
It has come to my attention that The book renewal system very staff was rude while assisting with a book search. Please fix this issue soon.,Library,High,Negative
Wanted to confirm the schedule/details related to the newspaper section when convenient.,Library,Medium,Neutral
Kindly look into the issue that The night security patrol reported a theft that was never investigated. I would appreciate a quick response.,Security,Critical,Neutral
"Respected Sir/Madam, The lab computers are not sufficient for the number of students in the batch. This needs urgent attention from the concerned department.",Laboratory,Low,Negative
It has come to my attention that The hostel gate timing signal does not reach the upper floors. This needs urgent attention from the concerned department.,Hostel,Low,Negative
I am writing to complain that The ID verification at the gate reported a theft that was never investigated. I hope this gets resolved quickly.,Security,Critical,Negative
"Excellent support was given when I reported an issue with the newspaper section, really appreciate the effort.",Library,Low,Positive
I am writing to complain that The bus AC does not cover our residential area anymore. Kindly take necessary action as soon as possible.,Transport,Medium,Neutral
I am extremely disappointed that The result declaration very behaved unfairly with several students. I would appreciate a quick response.,Examination,High,Negative
I want to report that The security near the girls hostel absolutely needs strengthening after the recent incident. I would appreciate a quick response.,Security,Critical,Negative
"Excellent support was given when I reported an issue with the oscilloscope in the electronics lab, really appreciate the effort.",Laboratory,Medium,Positive
I want to report that The exam invigilator behaved unfairly with several students. I hope this gets resolved quickly.,Examination,High,Neutral
It has come to my attention that The campus Wi-Fi router totally keeps timing out when uploading assignments. I hope this gets resolved quickly.,IT/Network,Medium,Negative
"I just wanted to appreciate that the certificate issuance counter was fixed quickly and works great now, thank you!",Administration,Low,Positive
It has come to my attention that The hostel gate timing quality has degraded badly and causes stomach issues. This is causing a lot of inconvenience to students.,Hostel,Critical,Negative
"I have a query about the book issue counter, please let me know the current process.",Library,Low,Neutral
Wanted to confirm the schedule/details related to the bus driver when convenient.,Transport,High,Neutral
I would like to inform you that The shuttle service extremely area is poorly lit and unsafe at night. Please resolve this at the earliest.,Transport,High,Negative
This is to bring to your notice that The chemistry lab equipment totally have not been replaced despite multiple requests. This needs urgent attention from the concerned department.,Laboratory,Medium,Neutral
Could you please provide an update regarding the false ceiling panel? Just checking on the status.,Infrastructure,Low,Neutral
"Great job by the staff, the hostel gate timing has improved a lot recently and I am satisfied.",Hostel,Low,Positive
"Great job by the staff, the bus conductor has improved a lot recently and I am satisfied.",Transport,Low,Positive
"I have a query about the college corridors, please let me know the current process.",Cleanliness,Low,Neutral
This is to bring to your notice that The digital library access seriously charges an unfair fine despite timely return. This is causing a lot of inconvenience to students.,Library,Medium,Negative
Wanted to confirm the schedule/details related to the workshop machinery when convenient.,Laboratory,Medium,Neutral
It has come to my attention that The evening bus timing is always late by more than 30 minutes. I hope this gets resolved quickly.,Transport,Medium,Negative
It has come to my attention that The hostel mess food is broken and needs replacement. This is causing a lot of inconvenience to students.,Hostel,Medium,Neutral
I would like to inform you that The bus driver extremely was cancelled without any prior notice.,Transport,High,Negative
"Respected Sir/Madam, The shuttle service skipped our stop without waiting.",Transport,Medium,Neutral
"Requesting information on the student council elections for my reference, not urgent.",Other,Medium,Neutral
I want to report that The hostel warden is broken and needs replacement. Please fix this issue soon.,Hostel,Medium,Negative
"Respected Sir/Madam, The answer sheet evaluation is poor and students feel suffocated during exams.",Examination,Medium,Negative
Could you please provide an update regarding the lab exhaust fan? Just checking on the status.,Laboratory,Medium,Neutral
"I just wanted to appreciate that the alumni portal was fixed quickly and works great now, thank you!",Other,Low,Positive
"This is to bring to your notice that The college website is old, damaged and needs replacement. I hope this gets resolved quickly.",Other,Medium,Negative
Could you please provide an update regarding the library staff? Just checking on the status.,Library,Medium,Neutral
